age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
59,admin.,married,high.school,no,yes,no,cellular,apr,thu,3,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1
38,technician,single,professional.course,no,yes,no,cellular,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
39,admin.,divorced,high.school,no,yes,no,cellular,jul,tue,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
31,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
70,retired,married,professional.course,no,no,no,cellular,aug,fri,3,999,1,failure,-2.9,92.201,-31.4,0.869,5076.2
51,services,married,unknown,no,no,yes,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
39,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
45,admin.,married,university.degree,no,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
36,technician,single,university.degree,unknown,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
40,services,married,high.school,unknown,yes,no,cellular,may,mon,5,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
34,technician,married,university.degree,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
38,technician,married,university.degree,no,no,no,cellular,mar,tue,2,999,2,failure,-1.8,92.843,-50.0,1.687,5099.1
53,management,divorced,university.degree,no,no,no,cellular,jun,mon,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
26,services,single,high.school,no,yes,no,cellular,jul,wed,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
35,admin.,married,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
49,blue-collar,divorced,unknown,unknown,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
40,blue-collar,married,basic.6y,no,unknown,unknown,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
39,admin.,married,university.degree,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
42,blue-collar,married,basic.4y,no,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
55,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8
46,technician,married,professional.course,no,yes,no,cellular,aug,fri,6,999,1,failure,-2.9,92.201,-31.4,0.869,5076.2
27,admin.,married,high.school,no,no,yes,cellular,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
29,admin.,single,university.degree,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
25,blue-collar,single,basic.9y,no,yes,yes,cellular,may,fri,6,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
35,admin.,married,university.degree,no,yes,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
51,management,married,unknown,unknown,yes,yes,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
39,admin.,married,university.degree,no,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,services,married,basic.9y,no,no,yes,telephone,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1
59,technician,divorced,professional.course,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
38,blue-collar,single,basic.4y,unknown,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
24,admin.,married,unknown,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
37,technician,single,university.degree,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
49,unemployed,married,high.school,no,no,no,cellular,sep,wed,1,999,0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5
26,admin.,single,university.degree,no,no,yes,cellular,jul,tue,4,999,0,nonexistent,-2.9,92.469,-33.6,0.908,5076.2
27,services,married,university.degree,no,no,no,cellular,may,tue,2,3,1,success,-1.8,92.893,-46.2,1.266,5099.1
71,admin.,married,basic.4y,no,yes,no,cellular,aug,thu,1,999,2,failure,-1.7,94.027,-38.3,0.899,4991.6
30,admin.,single,university.degree,no,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
23,blue-collar,married,basic.6y,unknown,no,no,cellular,may,tue,8,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
57,technician,married,high.school,unknown,no,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
41,technician,married,professional.course,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
28,blue-collar,single,basic.9y,unknown,no,no,cellular,may,thu,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1
49,technician,married,unknown,unknown,yes,no,cellular,jul,thu,14,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
