customer_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
CUST_000001,44,admin.,married,university.degree,no,no,no,cellular,apr,thu,1,999,1,nonexistent,-1.78,93.05,-46.35,1.4,5096.49
CUST_000002,35,management,single,high.school,no,no,no,cellular,jul,mon,1,999,1,nonexistent,1.48,93.95,-42.96,4.91,5227.16
CUST_000003,45,admin.,married,unknown,unknown,no,no,cellular,jul,thu,1,999,1,nonexistent,1.32,93.93,-42.47,4.96,5227.38
CUST_000004,31,technician,single,university.degree,no,no,no,telephone,may,mon,3,999,0,nonexistent,0.98,94.23,-36.97,4.66,5180.87
CUST_000005,56,retired,married,university.degree,no,yes,no,cellular,nov,fri,1,999,1,nonexistent,-1.1,94.81,-51.35,1.0,4963.44
CUST_000006,46,admin.,married,university.degree,no,yes,no,telephone,jun,tue,1,999,1,nonexistent,1.51,94.48,-41.42,5.04,5225.02
CUST_000007,41,admin.,married,professional.course,no,no,yes,telephone,may,fri,1,999,0,nonexistent,1.24,93.82,-36.63,4.88,5189.83
CUST_000008,24,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,2,999,1,failure,-1.67,92.85,-45.49,1.3,5096.06
CUST_000009,53,blue-collar,single,basic.9y,unknown,yes,no,cellular,nov,tue,5,999,0,nonexistent,-0.12,93.21,-41.66,4.25,5201.99
CUST_000010,37,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,4,999,0,nonexistent,1.47,94.03,-42.0,4.98,5224.76
CUST_000011,49,admin.,divorced,basic.6y,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-0.06,93.14,-41.81,4.12,5192.24
CUST_000012,48,technician,married,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.55,93.46,-35.81,4.9,5227.13
CUST_000013,24,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.94,-36.47,4.94,5193.75
CUST_000014,33,technician,married,professional.course,no,no,no,telephone,jun,fri,3,999,0,nonexistent,1.41,94.34,-41.74,5.07,5235.57
CUST_000015,33,admin.,divorced,university.degree,no,no,yes,cellular,jul,thu,2,999,0,nonexistent,-2.93,92.65,-33.31,0.83,5073.1
CUST_000016,37,services,single,high.school,no,yes,no,cellular,may,wed,5,999,2,nonexistent,-1.9,92.94,-45.66,1.24,5105.44
CUST_000017,32,blue-collar,married,basic.4y,unknown,yes,no,cellular,nov,thu,1,999,1,failure,-0.17,93.08,-41.71,3.78,5191.12
CUST_000018,51,services,divorced,high.school,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.85,92.91,-46.42,1.27,5095.0
CUST_000019,52,management,married,university.degree,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.23,93.92,-42.78,4.94,5229.88
CUST_000020,20,student,single,basic.9y,no,yes,yes,telephone,jul,tue,2,999,0,nonexistent,-1.66,94.32,-41.2,0.83,4994.1
CUST_000021,57,retired,single,professional.course,no,no,yes,telephone,jun,tue,2,999,1,nonexistent,1.46,94.47,-40.49,4.98,5229.96
CUST_000022,29,admin.,single,university.degree,no,yes,no,telephone,jun,thu,2,999,1,nonexistent,-1.81,93.95,-39.68,0.56,4989.62
CUST_000023,23,student,single,unknown,no,no,no,cellular,oct,fri,5,999,0,nonexistent,-3.4,92.4,-27.9,0.82,5019.88
CUST_000024,32,technician,divorced,professional.course,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.94,-37.69,4.71,5190.05
CUST_000025,37,management,married,university.degree,no,no,yes,cellular,jul,thu,2,999,1,nonexistent,1.46,94.02,-42.72,5.06,5229.44
CUST_000026,34,technician,single,professional.course,no,no,no,cellular,may,fri,3,999,1,nonexistent,-1.69,92.91,-46.06,1.18,5102.76
CUST_000027,41,services,married,professional.course,no,no,yes,cellular,nov,thu,4,999,3,nonexistent,-0.07,93.18,-42.49,4.03,5198.21
CUST_000028,28,admin.,married,unknown,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,0.06,93.17,-41.47,3.97,5196.26
CUST_000029,34,technician,married,university.degree,no,no,no,cellular,jul,thu,4,999,0,nonexistent,1.23,93.94,-42.36,4.96,5230.17
