feature,mean_abs_shap
num__nr.employed,0.5210878
num__emp.var.rate,0.26127777
num__euribor3m,0.13323815
cat__contact_cellular,0.12565666
num__cons.conf.idx,0.10121327
num__pdays,0.0942659
num__age,0.09236858
num__campaign,0.07975977
num__cons.price.idx,0.0606517
cat__day_of_week_mon,0.052820485
cat__day_of_week_wed,0.04434993
cat__poutcome_failure,0.034741677
cat__default_no,0.030937403
cat__poutcome_success,0.030363414
cat__education_university.degree,0.024447069
num__previous,0.02353038
cat__loan_yes,0.022013254
cat__marital_single,0.018929347
cat__job_retired,0.01774471
cat__day_of_week_fri,0.017494954
cat__month_oct,0.017210405
cat__month_jul,0.016848862
cat__housing_no,0.016258711
cat__month_nov,0.016178733
cat__day_of_week_thu,0.016059767
cat__loan_no,0.0154522965
cat__job_admin.,0.015299166
cat__housing_unknown,0.01527906
cat__housing_yes,0.014363787
cat__job_services,0.014255567
cat__job_blue-collar,0.012503392
cat__education_basic.9y,0.011806341
cat__education_basic.6y,0.0117688915
cat__job_self-employed,0.011435903
cat__marital_married,0.011154688
cat__education_high.school,0.011050273
cat__month_may,0.010609974
cat__education_basic.4y,0.010175381
cat__day_of_week_tue,0.0099531775
cat__month_aug,0.009564308
cat__education_professional.course,0.009000592
cat__job_technician,0.008585231
cat__marital_divorced,0.0074942117
cat__job_student,0.006306081
cat__month_mar,0.0059349914
cat__job_housemaid,0.0057187425
cat__job_unknown,0.0053868196
cat__education_unknown,0.0048895557
cat__month_apr,0.004818981
cat__job_management,0.004668201
cat__month_jun,0.0038710814
cat__job_entrepreneur,0.0038605588
cat__month_dec,0.0020928956
cat__job_unemployed,0.0018625971
cat__marital_unknown,0.0015893244
cat__month_sep,0.0012032818
cat__default_unknown,0.00074066356
cat__education_illiterate,0.0
cat__contact_telephone,0.0
cat__loan_unknown,0.0
cat__default_yes,0.0
cat__poutcome_nonexistent,0.0
