age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,probability,rank
34,admin.,single,university.degree,no,yes,yes,cellular,mar,tue,1,3,2,success,-1.8,93.369,-34.8,0.652,5008.7,0.9341116,1
61,admin.,married,unknown,no,no,no,cellular,may,thu,3,9,2,success,-1.8,93.876,-40.0,0.699,5008.7,0.92489874,2
77,retired,married,basic.4y,no,unknown,unknown,cellular,jul,tue,2,3,1,success,-1.7,94.215,-40.3,0.893,4991.6,0.91732895,3
69,retired,married,high.school,no,no,no,cellular,may,wed,1,10,1,success,-1.8,93.876,-40.0,0.697,5008.7,0.9092031,4
65,management,married,unknown,no,no,no,cellular,dec,wed,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,0.90490836,5
48,housemaid,married,professional.course,no,no,no,cellular,jul,wed,3,6,1,success,-1.7,94.215,-40.3,0.896,4991.6,0.8977085,6
92,retired,married,unknown,no,yes,no,cellular,may,thu,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,0.8971248,7
48,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,1,6,2,success,-1.8,93.749,-34.6,0.644,5008.7,0.8826376,8
38,admin.,married,high.school,no,no,no,cellular,jul,thu,2,10,2,success,-1.7,94.215,-40.3,0.782,4991.6,0.8800069,9
52,management,married,university.degree,no,no,no,cellular,may,fri,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,0.86561686,10
42,admin.,single,high.school,no,no,no,cellular,sep,wed,1,14,1,success,-1.1,94.199,-37.5,0.88,4963.6,0.8640218,11
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,0.86106676,12
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,0.8527787,13
68,retired,divorced,basic.4y,no,yes,no,cellular,mar,tue,2,11,1,success,-1.8,93.369,-34.8,0.635,5008.7,0.8481563,14
82,retired,divorced,basic.4y,no,no,no,cellular,apr,mon,1,6,2,success,-1.8,93.749,-34.6,0.643,5008.7,0.84607565,15
30,student,single,unknown,no,yes,no,cellular,mar,tue,1,9,1,success,-1.8,93.369,-34.8,0.637,5008.7,0.8406904,16
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,0.8310747,17
36,technician,married,high.school,no,no,no,telephone,oct,wed,1,999,0,nonexistent,-0.1,93.798,-40.4,4.936,5195.8,0.82906157,18
24,admin.,single,university.degree,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,0.81810945,19
30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,9,2,success,-1.1,94.601,-49.5,1.032,4963.6,0.81248903,20
36,management,married,university.degree,no,no,yes,cellular,nov,wed,3,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,0.8087095,21
65,retired,married,high.school,no,yes,yes,cellular,oct,fri,2,12,1,success,-1.1,94.601,-49.5,1.029,4963.6,0.80477536,22
38,technician,married,professional.course,no,yes,no,cellular,mar,fri,2,10,1,success,-1.8,92.843,-50.0,1.726,5099.1,0.80282813,23
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,0.7968617,24
33,admin.,single,university.degree,no,yes,no,cellular,oct,thu,1,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,0.7959624,25
72,retired,married,basic.4y,no,no,no,cellular,sep,fri,1,3,2,success,-3.4,92.379,-29.8,0.803,5017.5,0.79256755,26
37,admin.,single,high.school,no,yes,no,telephone,oct,wed,1,999,0,nonexistent,-0.1,93.798,-40.4,4.936,5195.8,0.7908444,27
57,blue-collar,married,basic.4y,no,no,yes,cellular,jul,wed,2,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,0.7852435,28
80,retired,married,illiterate,unknown,yes,yes,cellular,aug,tue,1,6,1,success,-2.9,92.201,-31.4,0.883,5076.2,0.783303,29
81,unknown,divorced,unknown,unknown,yes,no,cellular,nov,mon,1,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5,0.7801075,30
