customer_id,p_treatment,p_control,uplift
CUST_004784,0.9031252,0.035458326,0.8676669
CUST_002268,0.9252825,0.0980088,0.82727367
CUST_001771,0.88945496,0.0724696,0.81698537
CUST_002234,0.8722034,0.05915589,0.8130475
CUST_005900,0.9052942,0.11409559,0.7911986
CUST_006306,0.97030926,0.20284492,0.76746434
CUST_005069,0.8643797,0.11742391,0.7469558
CUST_007713,0.93918216,0.19464847,0.74453366
CUST_006106,0.9487269,0.21819414,0.73053277
CUST_003167,0.8482661,0.12317634,0.7250898
CUST_005936,0.8843892,0.16152681,0.7228624
CUST_007992,0.8200442,0.11946992,0.7005743
CUST_005285,0.91050243,0.21446116,0.6960413
CUST_006036,0.8967353,0.20629607,0.6904392
CUST_002586,0.6903331,0.007718406,0.68261474
CUST_000716,0.8395679,0.15747683,0.68209106
CUST_002325,0.75187063,0.07271012,0.67916054
CUST_003745,0.9848643,0.30723318,0.67763114
CUST_004722,0.699985,0.034353327,0.6656317
CUST_001322,0.67572105,0.010799386,0.66492164
CUST_004996,0.7484905,0.0905189,0.6579716
CUST_004807,0.9458831,0.2890207,0.6568624
CUST_003294,0.74377793,0.09658271,0.6471952
CUST_005465,0.92980856,0.29286712,0.63694143
CUST_004726,0.7008401,0.06449265,0.6363475
CUST_007616,0.8548671,0.22009331,0.6347738
CUST_007239,0.6640048,0.030502265,0.63350254
CUST_000287,0.78140527,0.15120478,0.6302005
CUST_006481,0.79175484,0.16433749,0.6274173
CUST_007545,0.7133483,0.0915848,0.6217635
CUST_003635,0.641652,0.029414533,0.61223745
CUST_002718,0.79045624,0.18068261,0.60977364
CUST_002964,0.6361264,0.02758383,0.60854256
CUST_000597,0.67194724,0.06453683,0.60741043
CUST_003582,0.71510744,0.10948796,0.6056195
CUST_002485,0.6199806,0.022420874,0.5975597
CUST_007519,0.7875855,0.19659767,0.5909878
CUST_005935,0.8242247,0.23607875,0.588146
CUST_006078,0.86649776,0.28211868,0.5843791
CUST_006094,0.8827994,0.3017136,0.5810858
CUST_005402,0.6540281,0.07316496,0.5808632
CUST_004533,0.772681,0.19781926,0.57486176
CUST_005416,0.8349163,0.26158714,0.57332915
CUST_005733,0.64653295,0.07462483,0.5719081
CUST_003145,0.8702573,0.29928342,0.5709739
CUST_000884,0.6996142,0.13543318,0.564181
CUST_006018,0.90661085,0.34318253,0.5634283
CUST_006452,0.65968966,0.0967823,0.56290734
CUST_000027,0.9505405,0.38773328,0.5628072
CUST_006587,0.9529096,0.3935933,0.5593163
CUST_005209,0.6608394,0.10388558,0.5569538
CUST_005704,0.8957791,0.34116808,0.55461097
CUST_004373,0.7915408,0.23807843,0.5534624
CUST_004713,0.61701566,0.06494934,0.5520663
CUST_001761,0.66302854,0.111494616,0.55153394
CUST_006699,0.79630256,0.24530725,0.5509953
CUST_005446,0.84584075,0.29574892,0.55009186
CUST_005307,0.5832585,0.0339096,0.5493489
CUST_003589,0.5868769,0.03971364,0.5471633
CUST_006048,0.9629374,0.41689733,0.54604006
CUST_005933,0.88836515,0.3468763,0.5414889
CUST_002001,0.54929274,0.008155843,0.5411369
CUST_006471,0.78159404,0.2413714,0.54022264
CUST_001898,0.57019854,0.029986076,0.54021245
CUST_001914,0.8830243,0.34547538,0.5375489
CUST_006989,0.90979546,0.37306574,0.5367297
CUST_008211,0.8352439,0.30116236,0.5340815
CUST_001464,0.6130165,0.0818334,0.53118306
CUST_002535,0.60135114,0.070802115,0.53054905
CUST_001588,0.5217433,0.0010311621,0.52071214
CUST_004190,0.73649406,0.21629453,0.52019954
CUST_003718,0.59797746,0.083878495,0.51409894
CUST_006556,0.68583596,0.17447494,0.511361
CUST_000855,0.52403134,0.014037118,0.5099942
CUST_007853,0.89083886,0.38085285,0.50998604
CUST_002344,0.58230734,0.07241323,0.50989413
CUST_005927,0.6561263,0.1469873,0.509139
CUST_002229,0.725683,0.22079721,0.5048858
CUST_004028,0.87060577,0.36728466,0.5033211
CUST_000151,0.59496355,0.09500723,0.4999563
CUST_003426,0.514946,0.015986426,0.49895957
CUST_001539,0.82166976,0.32488802,0.49678174
CUST_003033,0.5265645,0.03112471,0.49543977
CUST_007635,0.6838832,0.1915078,0.49237537
CUST_006592,0.6059437,0.116277166,0.48966652
CUST_007750,0.510289,0.021005783,0.48928323
CUST_001702,0.50099444,0.013750084,0.48724437
CUST_007464,0.56512135,0.08058012,0.48454124
CUST_000113,0.56307775,0.08190926,0.48116848
CUST_004887,0.52751595,0.047041032,0.48047492
CUST_000418,0.5137603,0.033948593,0.47981173
CUST_005832,0.49585217,0.016448038,0.47940412
CUST_001071,0.5997285,0.12139817,0.47833034
CUST_005593,0.500092,0.022420973,0.47767106
CUST_001186,0.7582906,0.28162748,0.4766631
CUST_005924,0.5742,0.0976162,0.47658378
CUST_006096,0.8964728,0.4211058,0.475367
CUST_007858,0.711749,0.24249364,0.4692554
CUST_003031,0.7613302,0.29430044,0.46702975
CUST_008195,0.6835407,0.21722798,0.4663127
CUST_003423,0.5215747,0.05693811,0.46463656
CUST_000291,0.4973948,0.03414565,0.46324915
CUST_004940,0.68121874,0.21866629,0.46255246
CUST_007249,0.47335884,0.013140896,0.46021795
CUST_005120,0.5139019,0.054863982,0.4590379
CUST_005805,0.46362492,0.0047091907,0.45891574
CUST_000325,0.51460063,0.057510514,0.4570901
CUST_001395,0.88505644,0.42937788,0.45567855
CUST_004027,0.7673599,0.3122275,0.45513242
